From File,To File,References,From Entities,To Entities
"opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/disable_warnings.h","opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_config.h",1,1,1
"opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_config.h","opencv-4.12.0/3rdparty/ittnotify/include/ittnotify.h",5,5,5
"opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_config.h","opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_types.h",1,1,1
"opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_static.c","opencv-4.12.0/3rdparty/ittnotify/include/ittnotify.h",93,12,44
"opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_static.c","opencv-4.12.0/3rdparty/ittnotify/include/legacy/ittnotify.h",1,1,1
"opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_static.c","opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/disable_warnings.h",1,1,1
"opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_static.c","opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_config.h",1061,25,35
"opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_static.c","opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_static.h",286,2,273
"opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_static.c","opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_types.h",267,12,22
"opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_static.h","opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_config.h",273,137,3
"opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_static.h","opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_static.c",272,136,1
"opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_static.h","opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_types.h",136,136,1
"opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/jitprofiling.c","opencv-4.12.0/3rdparty/ittnotify/include/jitprofiling.h",12,2,12
"opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/jitprofiling.c","opencv-4.12.0/3rdparty/ittnotify/src/ittnotify/ittnotify_config.h",1,1,1
"opencv-4.12.0/3rdparty/libjpeg-turbo/simd/arm/aarch64/jchuff-neon.c","opencv-4.12.0/3rdparty/libjpeg-turbo/simd/arm/align.h",1,1,1
