Source,Target,Type
C:/opencv/3rdparty/cpufeatures/cpu-features.c,cpu-features.h,include
C:/opencv/3rdparty/cpufeatures/cpu-features.c,dlfcn.h,include
C:/opencv/3rdparty/cpufeatures/cpu-features.c,errno.h,include
C:/opencv/3rdparty/cpufeatures/cpu-features.c,fcntl.h,include
C:/opencv/3rdparty/cpufeatures/cpu-features.c,pthread.h,include
C:/opencv/3rdparty/cpufeatures/cpu-features.c,stdio.h,include
C:/opencv/3rdparty/cpufeatures/cpu-features.c,stdlib.h,include
C:/opencv/3rdparty/cpufeatures/cpu-features.c,sys/system_properties.h,include
C:/opencv/3rdparty/cpufeatures/cpu-features.c,unistd.h,include
C:/opencv/3rdparty/cpufeatures/cpu-features.c,defined,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,open,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,strerror,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,D,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,read,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,strerror,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,D,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,close,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,open,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,strerror,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,D,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,read,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,strerror,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,D,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,close,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,strlen,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,memmem,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,memchr,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,memchr,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,malloc,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,memcpy,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,strlen,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,memcmp,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,parse_number,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,parse_number,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,__builtin_popcount,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,memchr,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,parse_decimal,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,parse_decimal,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,cpulist_set,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,cpulist_init,call
C:/opencv/3rdparty/cpufeatures/cpu-features.c,read_file,call
